driver_id,age,vehicle_age_yrs,speeding_pct,harsh_braking_per100km,harsh_accel_per100km,cornering_per100km,night_driving_pct,phone_use_per_trip,max_speed_kmh,monthly_km,harsh_event_index,speed_risk_index,distraction_score,risk_score,risk_tier,is_high_risk
DRV-0000,40,25,0.086,5.02,2.44,2.96,0.1218,1.39,106.8,508,0.2003,0.2228,0.1737,0.3,Low,0
DRV-0001,35,11,0.1381,3.25,3.06,2.57,0.1554,1.37,112.2,256,0.1674,0.2717,0.1713,1.1,Low,0
DRV-0002,42,0,0.0115,5.45,6.0,4.02,0.1931,1.43,101.1,124,0.2894,0.1604,0.1788,42.2,Moderate,0
DRV-0003,18,0,0.0679,6.62,5.36,3.13,0.1401,2.04,108.0,734,0.2843,0.2173,0.255,28.0,Low,0
DRV-0004,50,0,0.1685,6.34,4.77,5.06,0.168,1.99,137.7,446,0.3075,0.384,0.2488,99.1,High,1
DRV-0005,22,3,0.0054,7.47,6.04,5.52,0.1836,2.26,122.7,153,0.3605,0.2381,0.2825,96.8,High,1
DRV-0006,29,0,0.0428,3.9,5.96,2.65,0.2098,1.27,102.6,305,0.2303,0.1833,0.1588,1.3,Low,0
DRV-0007,21,13,0.109,2.26,1.51,1.55,0.0722,0.87,84.6,418,0.1014,0.1522,0.1088,0.0,Low,0
DRV-0008,29,1,0.1696,5.54,3.81,2.67,0.0987,1.24,85.8,515,0.2277,0.19,0.155,0.0,Low,0
DRV-0009,33,4,0.2113,8.42,6.91,4.43,0.1662,2.34,110.0,1395,0.3722,0.3037,0.2925,97.0,High,1
DRV-0010,48,6,0.0987,4.58,4.96,2.75,0.0846,1.99,79.8,379,0.2293,0.1285,0.2488,2.4,Low,0
DRV-0011,53,18,0.124,3.96,6.24,3.35,0.1452,1.23,85.7,270,0.2502,0.1646,0.1538,3.9,Low,0
DRV-0012,61,0,0.2074,7.52,5.96,4.77,0.1549,1.83,101.3,326,0.3451,0.2689,0.2288,98.8,High,1
DRV-0013,39,2,0.0466,3.49,2.39,3.46,0.0612,1.33,65.6,140,0.1788,0.0466,0.1662,0.0,Low,0
DRV-0014,35,2,0.0985,3.36,4.06,3.71,0.1485,1.03,91.5,158,0.2091,0.1723,0.1288,1.2,Low,0
DRV-0015,47,9,0.0342,3.52,2.24,2.51,0.0643,1.74,104.6,321,0.1579,0.1861,0.2175,0.0,Low,0
DRV-0016,27,1,0.1212,2.61,7.21,1.13,0.068,0.69,86.6,587,0.195,0.1664,0.0862,0.3,Low,0
DRV-0017,26,2,0.1287,1.48,1.44,0.94,0.0932,0.61,84.8,362,0.0724,0.1638,0.0762,0.0,Low,0
DRV-0018,33,0,0.1925,4.37,4.09,2.85,0.1119,2.19,114.3,238,0.2126,0.3095,0.2738,7.5,Low,0
DRV-0019,37,0,0.0807,7.46,3.02,3.13,0.1189,1.14,124.3,326,0.2621,0.2855,0.1425,2.5,Low,0
DRV-0020,18,0,0.0512,6.91,3.78,4.87,0.1428,1.32,132.1,344,0.2986,0.2985,0.165,7.1,Low,0
DRV-0021,50,7,0.1239,3.84,2.2,2.73,0.0425,0.91,92.6,255,0.1681,0.1904,0.1138,0.0,Low,0
DRV-0022,40,7,0.1769,5.56,4.62,5.0,0.1699,2.55,109.6,437,0.2882,0.2833,0.3188,93.4,High,1
DRV-0023,47,1,0.0447,1.81,1.56,0.7,0.0334,0.88,80.7,419,0.0762,0.1022,0.11,0.0,Low,0
DRV-0024,19,6,0.0867,9.14,3.72,2.9,0.1215,1.29,115.6,396,0.3028,0.2562,0.1612,1.4,Low,0
DRV-0025,30,3,0.1223,6.97,3.78,3.16,0.0944,1.0,100.2,580,0.2656,0.218,0.125,1.3,Low,0
DRV-0026,29,3,0.0,3.47,3.07,2.62,0.0289,0.52,83.7,440,0.173,0.0889,0.065,0.0,Low,0
DRV-0027,35,7,0.1751,5.34,4.28,3.48,0.1373,2.04,110.3,527,0.2477,0.2849,0.255,78.1,High,1
DRV-0028,37,2,0.1639,3.07,5.35,2.33,0.0797,1.47,87.2,121,0.1972,0.1921,0.1838,1.2,Low,0
DRV-0029,48,4,0.3277,8.13,7.05,6.72,0.2911,2.31,104.5,681,0.4145,0.3471,0.2888,98.3,High,1
DRV-0030,39,7,0.1143,2.51,2.57,4.67,0.1022,1.15,88.4,468,0.1864,0.1694,0.1438,0.0,Low,0
DRV-0031,29,1,0.1204,8.11,6.68,4.85,0.2201,2.82,144.0,345,0.3705,0.3812,0.3525,99.9,High,1
DRV-0032,64,11,0.0596,2.97,2.1,7.42,0.0724,0.57,107.8,192,0.2428,0.212,0.0712,0.9,Low,0
DRV-0033,34,13,0.1432,4.65,1.4,0.56,0.1255,0.64,94.7,1210,0.1275,0.2089,0.08,0.4,Low,0
DRV-0034,27,11,0.1304,7.67,7.54,4.64,0.1709,1.86,115.8,78,0.3719,0.281,0.2325,98.9,High,1
DRV-0035,18,0,0.0034,0.6,2.33,1.3,0.0603,0.25,72.1,763,0.0768,0.0472,0.0312,0.0,Low,0
DRV-0036,39,2,0.1172,3.39,1.26,1.45,0.0567,0.49,106.9,403,0.1178,0.2403,0.0612,0.0,Low,0
DRV-0037,46,6,0.1893,5.61,4.99,3.82,0.1604,2.27,101.8,136,0.2718,0.2609,0.2838,94.7,High,1
DRV-0038,24,3,0.226,5.9,4.67,2.46,0.0917,1.11,98.1,1507,0.245,0.2672,0.1388,5.9,Low,0
DRV-0039,45,0,0.0437,3.09,2.58,2.38,0.1377,1.54,120.3,604,0.1524,0.2502,0.1925,0.2,Low,0
DRV-0040,39,6,0.1122,6.33,5.12,4.61,0.1823,1.91,120.7,96,0.3041,0.2893,0.2388,99.4,High,1
DRV-0041,18,4,0.222,11.14,4.34,5.52,0.1862,3.05,110.4,332,0.4055,0.3111,0.3812,94.6,High,1
DRV-0042,45,1,0.0,2.7,2.23,2.48,0.0523,1.19,107.6,272,0.1408,0.1785,0.1488,0.1,Low,0
DRV-0043,34,0,0.0,0.4,0.87,1.31,0.0141,0.31,83.5,1195,0.0487,0.0881,0.0388,0.0,Low,0
DRV-0044,24,2,0.0427,2.15,1.34,1.39,0.0974,1.24,93.0,309,0.0931,0.1472,0.155,0.0,Low,0
DRV-0045,49,6,0.1132,2.45,2.79,3.88,0.0703,0.62,109.8,50,0.1731,0.249,0.0775,0.4,Low,0
DRV-0046,49,3,0.1975,5.92,7.41,6.88,0.1405,1.76,86.2,1144,0.3795,0.2069,0.22,85.9,High,1
DRV-0047,24,0,0.232,8.89,6.55,5.39,0.2275,2.08,131.1,421,0.3948,0.3942,0.26,100.0,High,1
DRV-0048,41,0,0.0,1.89,0.82,0.94,0.0336,0.53,75.8,99,0.0703,0.0592,0.0662,0.0,Low,0
DRV-0049,40,7,0.1466,4.2,4.79,2.21,0.0819,2.33,94.4,485,0.208,0.2096,0.2912,1.5,Low,0
DRV-0050,37,0,0.4393,8.38,7.87,7.0,0.2156,2.17,126.6,452,0.4388,0.4914,0.2712,100.0,High,1
DRV-0051,31,4,0.1027,2.12,2.68,1.96,0.0538,1.01,85.9,311,0.1263,0.1536,0.1262,0.0,Low,0
DRV-0052,36,0,0.1452,5.12,4.04,3.19,0.1628,2.11,114.6,140,0.2335,0.2846,0.2638,48.6,Moderate,1
DRV-0053,49,0,0.0504,7.41,4.53,3.04,0.1136,1.61,113.9,171,0.2845,0.2298,0.2013,11.9,Low,0
DRV-0054,42,3,0.0856,7.48,4.22,2.89,0.1244,1.55,110.7,406,0.2777,0.2372,0.1938,11.7,Low,0
DRV-0055,18,0,0.0536,3.29,3.27,2.48,0.1179,0.9,96.5,366,0.1699,0.1664,0.1125,0.0,Low,0
DRV-0056,18,6,0.0043,1.96,3.95,2.78,0.0846,0.64,86.9,607,0.1606,0.1032,0.08,0.1,Low,0
DRV-0057,18,9,0.0813,3.62,3.61,2.33,0.086,0.84,97.6,68,0.1792,0.1857,0.105,0.2,Low,0
DRV-0058,21,1,0.2422,5.46,6.28,3.93,0.1497,1.85,111.9,518,0.2925,0.3278,0.2312,81.3,High,0
DRV-0059,28,3,0.0826,3.99,2.71,0.24,0.0403,0.5,70.5,595,0.1298,0.0848,0.0625,0.0,Low,0
DRV-0060,32,12,0.2402,8.59,8.59,6.72,0.2748,3.32,152.3,419,0.4494,0.4782,0.415,100.0,High,1
DRV-0061,37,2,0.0,1.48,1.17,2.97,0.025,0.16,79.8,245,0.1085,0.0742,0.02,0.0,Low,0
DRV-0062,37,2,0.0894,0.94,0.27,1.78,0.0586,0.1,77.3,617,0.0589,0.114,0.0125,0.0,Low,0
DRV-0063,37,1,0.0291,4.22,1.69,3.48,0.0994,0.42,92.1,958,0.1822,0.1364,0.0525,0.1,Low,0
DRV-0064,51,6,0.0,3.83,1.96,1.87,0.0749,0.98,92.1,304,0.1467,0.1204,0.1225,0.0,Low,0
DRV-0065,18,3,0.1273,3.78,2.91,2.54,0.0964,0.92,114.2,329,0.1749,0.2733,0.115,0.1,Low,0
DRV-0066,42,0,0.1442,4.72,2.7,2.97,0.0851,0.99,109.6,706,0.1988,0.2653,0.1238,0.0,Low,0
DRV-0067,41,4,0.0,9.04,4.74,2.31,0.1044,1.34,102.1,888,0.306,0.1579,0.1675,2.1,Low,0
DRV-0068,22,1,0.0,2.2,1.37,4.37,0.0766,0.59,102.1,252,0.1542,0.1579,0.0738,0.0,Low,0
DRV-0069,44,1,0.2087,8.98,7.22,6.23,0.2008,2.27,132.0,202,0.4245,0.3848,0.2838,99.9,High,1
DRV-0070,42,6,0.1091,6.29,1.89,1.65,0.1236,0.7,81.0,485,0.1903,0.1388,0.0875,0.6,Low,0
DRV-0071,37,7,0.0513,5.23,5.11,2.33,0.1346,1.02,109.5,302,0.2364,0.2138,0.1275,4.4,Low,0
DRV-0072,18,1,0.0,1.04,6.0,1.01,0.0638,0.44,63.1,143,0.141,0.0116,0.055,0.1,Low,0
DRV-0073,49,2,0.1189,4.87,2.73,3.99,0.1119,1.46,60.0,141,0.2227,0.0654,0.1825,0.8,Low,0
DRV-0074,40,11,0.156,7.82,9.38,6.71,0.1589,2.42,130.5,444,0.4469,0.3502,0.3025,100.0,High,1
DRV-0075,42,5,0.226,9.65,5.55,4.83,0.1882,2.05,129.5,1002,0.3821,0.3849,0.2562,99.7,High,1
DRV-0076,18,3,0.0837,6.08,6.08,5.31,0.1458,1.88,118.9,172,0.3291,0.2669,0.235,97.7,High,1
DRV-0077,31,3,0.0114,4.19,4.23,2.45,0.0921,1.09,117.8,336,0.2033,0.223,0.1362,0.4,Low,0
DRV-0078,20,17,0.1258,5.13,5.29,2.76,0.1206,0.94,98.1,397,0.246,0.2121,0.1175,1.5,Low,0
DRV-0079,53,13,0.1678,5.79,4.47,3.62,0.1814,1.98,110.3,290,0.2627,0.2809,0.2475,91.3,High,1
DRV-0080,24,10,0.1161,3.34,1.77,3.71,0.0752,0.7,103.4,149,0.1705,0.2266,0.0875,0.3,Low,0
DRV-0081,55,5,0.0975,7.73,6.3,3.39,0.1566,1.56,101.0,603,0.3274,0.2074,0.195,53.8,Moderate,0
DRV-0082,49,14,0.055,3.63,3.34,4.5,0.0984,2.32,100.6,208,0.2183,0.1825,0.29,2.9,Low,0
DRV-0083,40,3,0.1811,5.0,6.76,3.5,0.1694,1.35,105.8,166,0.2827,0.2714,0.1688,12.5,Low,0
DRV-0084,51,8,0.0815,11.56,7.89,4.36,0.2155,2.17,123.5,277,0.4499,0.283,0.2712,99.4,High,1
DRV-0085,26,3,0.0968,1.94,0.97,2.14,0.0376,0.49,81.0,459,0.0978,0.132,0.0612,0.0,Low,0
DRV-0086,28,10,0.189,5.94,4.73,2.72,0.1084,1.49,99.2,126,0.252,0.251,0.1862,6.4,Low,0
DRV-0087,49,4,0.2736,12.17,6.56,6.16,0.2352,2.88,117.3,426,0.4759,0.3654,0.36,99.9,High,1
DRV-0088,26,10,0.032,3.11,2.35,3.64,0.0872,1.59,87.3,197,0.1742,0.12,0.1988,0.1,Low,0
DRV-0089,22,9,0.0561,3.67,7.39,3.45,0.097,1.09,125.8,273,0.2656,0.2776,0.1362,7.3,Low,0
DRV-0090,34,5,0.0765,3.08,4.22,2.98,0.1003,0.98,97.2,686,0.1915,0.1816,0.1225,0.2,Low,0
DRV-0091,27,5,0.0,2.74,4.88,1.76,0.062,0.78,97.1,252,0.1713,0.1391,0.0975,0.0,Low,0
DRV-0092,60,0,0.0,6.96,0.94,1.37,0.0461,0.19,65.8,851,0.1823,0.0217,0.0238,0.0,Low,0
DRV-0093,47,1,0.0669,1.56,1.71,2.73,0.0274,0.93,117.2,378,0.1143,0.2513,0.1162,0.2,Low,0
DRV-0094,31,1,0.1691,8.75,5.06,4.04,0.1748,1.62,99.4,353,0.3401,0.2408,0.2025,84.7,High,0
DRV-0095,25,2,0.2359,10.82,9.67,7.2,0.2834,3.45,134.2,503,0.5216,0.408,0.4312,99.9,High,1
DRV-0096,42,5,0.0749,3.32,3.03,0.85,0.0637,0.73,87.1,310,0.1339,0.1428,0.0912,0.0,Low,0
DRV-0097,52,1,0.0633,1.28,1.62,1.11,0.1034,2.56,77.5,194,0.0748,0.1004,0.32,0.4,Low,0
DRV-0098,41,0,0.2049,5.15,6.28,5.07,0.1537,1.73,110.5,355,0.3091,0.3021,0.2162,75.8,High,0
